275,336,438,606,814,Delta_Cubi275,Delta_275814,delta_cubi,pop,U,B,V,R,I,RA,DEC,pmra,pmdec,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,pseudocolour,pseudocolour_error,visibility_periods_used,pmra_c,pmdec_c,ra,dec,dist_cntr,SD,pmra_error_fix,pmdec_error_fix,chisq,ra_c,dec_c,r,mu_r,emu_r,mu_t,emu_t,DCEN,RV,ERV,NRV,MJD,P_Single,PMEM,PMEM.1,Gmag,Gmagerr,BRmag,BRmagerr,Separation
,,,,,,,-0.1651996285032918,P2,16.161028530438852,15.593650825491869,14.6890073489094,14.18626602610571,13.68881140199673,5.882513067021435,-72.05465054124365,5.606529966559753,-2.491384839934239,14.45129,1.130312,14.903551,0.0348326367895869,0.0410379852211087,1.1088598,1.136333,2.2197087,0,0.04256438,,,21,0.3535299665597531,0.06561516006576085,-0.0435293752615175,0.02660439491556,0.0510156858554682,167.04,0.0348326367895869,0.0410379852211087,3.1358838046129027,-0.0435293752615175,0.02660439491556,0.0510156858554682,-5.72970233250977,0.036624455247329504,-5.1494581028072846,0.039447157643654425,183.77,-17.45,0.36,2,58055.5,0.12,1.0,1.0,14.451,0.003,1.13,0.005,0.0443818347011841
,,,,,,,-0.972844779671302,P1,15.678482826662137,15.108594352611393,14.12620893987389,13.58407133069659,13.05613015498446,6.153351973660309,-72.11906754686616,5.660122393629151,-2.645332896239877,13.853131,1.2000942,14.349413,0.0286715067631526,0.030441426292459,1.0756276,0.20092824,1.6969845,0,0.008406768,,,23,0.4071223936291508,-0.08833289623987728,0.0397800616795174,-0.037804341558844,0.0548782408453805,158.39999999999998,0.0286715067631526,0.030441426292459,4.250922591256021,0.0397800616795174,-0.037804341558844,0.0548782408453805,7.6264742110098425,0.02952465641758112,4.636894622405723,0.02961470127413179,197.45,-2.02,0.27,1,59406.2,1.0,0.998,1.0,13.853,0.003,1.2,0.005,0.0622703728542063
,,,,,,,-0.4216076554131862,P2,17.624853668424848,17.33154452178714,16.5306428734384,16.06962715621949,15.6233800811896,5.843552415008323,-72.08410912081186,4.788363156102147,-2.6686621498162184,16.341467,0.9889078,16.500462,0.059590332945027,0.0638287017316268,1.1195056,1.9593929,2.7681208,0,0.013253206,,,23,-0.4646368438978534,-0.11166214981621847,-0.055445313747191,-0.002886099921971,0.0555203781208661,191.52,0.059590332945027,0.0638287017316268,5.240013076048413,-0.055445313747191,-0.002886099921971,0.0555203781208661,10.065652766911724,0.05960219201643019,1.871629754278036,0.06381762811725707,199.87,-13.79,0.55,1,53612.13,1.0,1.0,1.0,16.341,0.003,0.989,0.018,0.0349816509200921
,,,,,,,-0.158248023346831,P2,16.55724633987609,16.06142788809072,15.184596774936962,14.701289355448308,14.21836746818724,6.203980409294128,-72.08466580825593,4.970497430097265,-2.579428815688748,14.957033,1.0929775,15.3795595,0.0345425892462123,0.0468380698523172,1.0650498,1.059388,1.4802732,0,0.031284407,,,22,-0.2825025699027348,-0.022428815688748216,0.0554279053295747,-0.0034427377596935,0.0555347200299855,171.36,0.0345425892462123,0.0468380698523172,1.949322767247686,0.0554279053295747,-0.0034427377596935,0.0555347200299855,-6.0111301994351525,0.034598206713856716,-0.8548222091038397,0.04679700156600736,199.86,-10.83,0.27,2,59304.41,0.534,0.999,1.0,14.957,0.003,1.093,0.006,0.0246414754851745
,,,,,,,0.1099471115559425,P2,16.366514997086867,15.751804685216788,14.843130654612406,14.340907136782173,13.85108826211283,6.205204223833735,-72.09406008565144,5.386852105056565,-2.945301856154973,14.60597,1.118186,15.040729,0.0322869454780804,0.0370205795788907,1.0593641,0.20395888,1.4170015,0,0.03169434,,,25,0.1338521050565653,-0.3883018561549729,0.0557760610860321,-0.0128381028392553,0.0572344810644842,152.64,0.0322869454780804,0.0370205795788907,4.081116704238653,0.0557760610860321,-0.0128381028392553,0.0572344810644842,4.660755985370267,0.0325415673192773,-7.464043862855439,0.03679696448644492,206.04,-8.9,1.5,1,99999.9,1.0,0.999,1.0,14.606,0.003,1.118,0.006,0.0169307847703828
,,,,,,,-0.0219532119904518,P2,16.451885065242482,15.889789249349397,14.99110265471159,14.485804176863503,14.01166549017224,6.162765285668746,-72.03924081627348,5.352991044821662,-2.188712565935788,14.751897,1.1016874,15.184465,0.0382851247197858,0.0403127327418146,1.0971553,0.94843256,2.0109737,0,0.01609805,,,21,0.0999910448216621,0.36828743406421216,0.0428545486954126,0.0420157319517594,0.0600152792723351,175.67999999999998,0.0382851247197858,0.0403127327418146,3.499624309897472,0.0428545486954126,0.0420157319517594,0.0600152792723351,7.05372503594235,0.03929196864572827,4.134503015583105,0.03933203120051825,215.93,-23.48,0.26,1,59406.2,1.0,1.0,1.0,14.752,0.003,1.102,0.006,0.0371618010224834
,,,,,,,-0.2332966076722589,P2,16.055888183308248,15.414453474240364,14.453632366671924,13.924398540670978,13.428794787636484,6.138722790343628,-72.0327787140727,5.180437869980644,-2.572281287087708,14.203456,1.1656475,14.696004,0.0374354863156381,0.0322214143712314,1.0508517,0.8741665,1.0896145,0,0.027690737,,,19,-0.07256213001935574,-0.01528128708770815,0.035453019375983,0.0484934527177956,0.0600710515909239,175.67999999999998,0.0374354863156381,0.0322214143712314,0.1328661602546038,0.035453019375983,0.0484934527177956,0.0600710515909239,-1.1818168515184677,0.034128102593997074,1.0617771144893586,0.03570585380596569,216.18,-36.52,0.27,1,59397.3,1.0,0.997,1.0,14.204,0.003,1.166,0.005,0.0164045636377458
,,,,,,,-0.9416366958714228,P1,16.957748167964585,16.66856743184745,15.81939972464282,15.324707774207113,14.867630435061049,6.001107420183553,-72.01878496748573,5.080485616186303,-2.556094456853368,15.578651,1.0550957,15.95027,0.0422184837433674,0.0518729764596604,1.0473106,0.18017898,1.0957378,0,0.028079549,,,24,-0.17251438381369688,0.0009055431466320485,-0.0070028509547611,0.0625197134708618,0.062910686488945,168.48,0.0422184837433674,0.0518729764596604,0.7123098462277535,-0.0070028509547611,0.0625197134708618,0.062910686488945,0.43070727871785186,0.051764367963937435,3.6709563723497967,0.04235157951795065,226.61,-27.07,0.18,4,56168.08,0.225,0.999,1.0,15.579,0.003,1.055,0.01,0.0324287922453378
,,,,,,,-0.3320530031986307,P2,16.393570849220435,15.900338575785671,15.006001178598112,14.50482096645045,14.02859970598027,6.232196368638528,-72.0700498575488,5.111040063464057,-2.347829638377592,14.767421,1.1036577,15.201237,0.033024984907764,0.041327207231985,0.9777363,1.268523e-15,-0.47094098,0,0.029898146,,,22,-0.14195993653594297,0.20917036162240787,0.0641579919433867,0.0111451198424522,0.0651188265756838,145.43999999999997,0.033024984907764,0.041327207231985,1.5394577524955522,0.0641579919433867,0.0111451198424522,0.0651188265756838,-2.2295866270908817,0.03329762092526295,4.935857141648673,0.04110786008459086,234.3,-28.38,0.22,4,55163.07,0.889,0.999,1.0,14.767,0.003,1.104,0.006,0.0244255580289093
,,,,,,,-0.3030184513946566,P2,16.674414561112492,16.199100234676482,15.308285889810383,14.828714429644512,14.34555724799642,5.827358623361865,-72.10581690734047,4.926506615353297,-2.4611150635794345,15.052818,1.0857878,15.485908,0.0339094936386471,0.0409428272769787,0.9360425,0.0,-1.4879707,0,0.01556454,,,24,-0.3264933846467031,0.09588493642056539,-0.0603560190494151,-0.0246093514358573,0.0651802806803776,165.59999999999997,0.0339094936386471,0.0409428272769787,2.811084407849528,-0.0603560190494151,-0.0246093514358573,0.0651802806803776,5.701698779904437,0.03499858566959103,-4.543307973674481,0.040015847041004,234.71,-19.32,0.51,1,52933.11,1.0,1.0,1.0,15.053,0.003,1.086,0.007,0.0618459772776694
